"Player","Year","Age","RPG","APG","SPG","BPG","TOPG","PPG","TS","3PAr","FTr","WS48","Perc","allstarFlag","allNBAFlag"
Scottie Pippen,"1997",31,6.5,5.7,1.9,0.5,2.6,20.2,0.554,0.31,0.213,0.203,0.841,1,1
Gary Payton,"1997",28,4.6,7.1,2.4,0.2,2.6,21.8,0.545,0.256,0.24,0.193,0.695,1,1
Tim Hardaway,"1997",30,3.4,8.6,1.9,0.1,2.8,20.3,0.532,0.426,0.263,0.198,0.744,1,1
Grant Hill,"1997",24,9.0,7.3,1.8,0.6,3.2,21.4,0.556,0.026,0.503,0.223,0.659,1,1
Hakeem Olajuwon,"1997",34,9.2,3.0,1.5,2.2,3.6,23.2,0.558,0.011,0.313,0.154,0.695,1,1
Shaquille O'Neal,"1997",24,12.5,3.1,0.9,2.9,2.9,26.2,0.556,0.004,0.483,0.197,0.683,1,1
Patrick Ewing,"1997",34,10.7,2.0,0.9,2.4,3.4,22.4,0.548,0.007,0.434,0.163,0.695,1,1
Vin Baker,"1997",25,10.3,2.7,1.0,1.4,3.1,21.0,0.553,0.043,0.416,0.127,0.402,1,1
Mitch Richmond,"1997",31,3.9,4.2,1.5,0.3,2.9,25.9,0.578,0.302,0.337,0.166,0.415,1,1
Shaquille O'Neal,"1998",25,11.4,2.4,0.7,2.4,2.9,28.3,0.587,0.0,0.594,0.224,0.744,1,1
Gary Payton,"1998",29,4.6,8.3,2.3,0.2,2.8,19.2,0.544,0.311,0.293,0.19,0.744,1,1
Vin Baker,"1998",26,8.0,1.9,1.1,1.0,2.1,19.2,0.564,0.006,0.452,0.169,0.744,1,1
Michael Jordan,"1998",34,5.8,3.5,1.7,0.5,2.3,28.7,0.533,0.067,0.381,0.238,0.756,1,1
Reggie Miller,"1998",32,2.9,2.1,1.0,0.1,1.6,19.5,0.619,0.353,0.407,0.206,0.707,1,1
Tim Hardaway,"1998",31,3.7,8.3,1.7,0.2,2.8,18.9,0.53,0.341,0.254,0.185,0.671,1,1
David Robinson,"1998",32,10.6,2.7,0.9,2.6,2.8,21.6,0.581,0.004,0.62,0.269,0.683,1,1
Tim Duncan,"1998",21,11.9,2.7,0.7,2.5,3.4,21.1,0.577,0.008,0.375,0.192,0.683,1,1
Dikembe Mutombo,"1998",31,11.4,1.0,0.4,3.4,2.0,13.4,0.584,0.0,0.608,0.177,0.61,1,1
Grant Hill,"1998",25,7.7,6.8,1.8,0.7,3.5,21.1,0.52,0.015,0.475,0.149,0.451,1,1
Mitch Richmond,"1998",32,3.3,4.0,1.3,0.2,2.6,23.2,0.569,0.274,0.386,0.148,0.329,1,1
Kobe Bryant,"2000",21,6.3,4.9,1.6,0.9,2.8,22.5,0.546,0.122,0.341,0.202,0.817,1,1
Shaquille O'Neal,"2000",27,13.6,3.8,0.5,3.0,2.8,29.7,0.578,0.001,0.495,0.283,0.817,1,1
David Robinson,"2000",34,9.6,1.8,1.2,2.3,2.1,17.8,0.568,0.002,0.496,0.238,0.646,1,1
Tim Duncan,"2000",23,12.4,3.2,0.9,2.2,3.3,23.2,0.555,0.009,0.471,0.218,0.646,1,1
Jason Kidd,"2000",26,7.2,10.1,2.0,0.4,3.4,14.3,0.498,0.194,0.287,0.156,0.646,1,1
Alonzo Mourning,"2000",29,9.5,1.6,0.5,3.7,2.7,21.7,0.596,0.003,0.492,0.226,0.634,1,1
Chris Webber,"2000",26,10.5,4.6,1.6,1.7,2.9,24.5,0.53,0.061,0.267,0.179,0.537,1,1
Kevin Garnett,"2000",23,11.8,5.0,1.5,1.6,3.3,22.9,0.545,0.053,0.265,0.172,0.61,1,1
Grant Hill,"2000",27,6.6,5.2,1.4,0.6,3.2,25.8,0.565,0.069,0.425,0.185,0.512,1,1
Allen Iverson,"2000",24,3.8,4.7,2.1,0.1,3.3,28.4,0.496,0.151,0.358,0.116,0.598,1,1
Gary Payton,"2000",31,6.5,8.9,1.9,0.2,2.7,24.2,0.535,0.312,0.254,0.195,0.549,1,1
Vince Carter,"2000",23,5.8,3.9,1.3,1.1,2.2,25.7,0.543,0.139,0.325,0.182,0.549,1,1
David Robinson,"2001",35,8.6,1.5,1.0,2.5,1.5,14.4,0.559,0.001,0.571,0.246,0.707,1,1
Tim Duncan,"2001",24,12.2,3.0,0.9,2.3,3.0,22.2,0.536,0.019,0.471,0.2,0.707,1,1
Chris Webber,"2001",27,11.1,4.2,1.3,1.7,2.8,27.1,0.516,0.017,0.282,0.186,0.671,1,1
Allen Iverson,"2001",25,3.8,4.6,2.5,0.3,3.3,31.1,0.518,0.169,0.397,0.19,0.683,1,1
Ray Allen,"2001",25,5.2,4.6,1.5,0.2,2.5,22.0,0.61,0.357,0.299,0.211,0.634,1,1
Kobe Bryant,"2001",22,5.9,5.0,1.7,0.6,3.2,28.5,0.552,0.132,0.369,0.196,0.683,1,1
Shaquille O'Neal,"2001",28,12.7,3.7,0.6,2.8,2.9,28.7,0.574,0.001,0.684,0.245,0.683,1,1
Vince Carter,"2001",24,5.5,3.9,1.5,1.1,2.2,27.6,0.551,0.24,0.303,0.208,0.573,1,1
Jason Kidd,"2001",27,6.4,9.8,2.2,0.3,3.7,16.9,0.51,0.211,0.367,0.15,0.622,1,1
Kevin Garnett,"2001",24,11.4,5.0,1.4,1.8,2.8,22.0,0.531,0.045,0.317,0.176,0.573,1,1
