"Player","Year","RPG","APG","SBPG","PPG","TS","WS48","Perc","allLeague"
Cliff Robinson,"1981",7.6,1.7,1.7,19.5,0.521,0.065,0.293,0
Truck Robinson,"1981",9.6,2.5,1.3,18.8,0.531,0.119,0.695,1
Wayne Robinson,"1981",3.6,1.4,0.9,7.9,0.523,0.052,0.256,0
Dan Roundfield,"1981",10.1,2.6,3.1,17.6,0.575,0.159,0.378,1
Campy Russell,"1981",4.5,3.3,1.4,16.4,0.518,0.071,0.61,0
Purvis Short,"1981",4.9,3.2,1.2,16.1,0.509,0.111,0.476,0
Jack Sikma,"1981",10.4,3.0,2.1,18.7,0.512,0.132,0.415,1
James Silas,"1981",3.1,3.8,0.8,17.7,0.557,0.164,0.634,0
Larry Smith,"1981",12.1,1.1,1.6,9.6,0.54,0.113,0.476,0
Phil Smith,"1981",2.1,4.9,1.3,16.8,0.535,0.097,0.439,0
Randy Smith,"1981",2.4,4.4,1.5,14.6,0.514,0.073,0.341,0
Ricky Sobers,"1981",2.0,4.0,1.6,13.5,0.546,0.101,0.549,0
Jim Spanarkel,"1981",3.6,2.8,1.7,14.4,0.563,0.115,0.183,0
Brian Taylor,"1981",1.9,5.5,1.8,10.1,0.602,0.146,0.439,0
Reggie Theus,"1981",3.5,5.2,1.7,18.9,0.578,0.156,0.549,1
David Thompson,"1981",3.7,3.0,1.5,25.5,0.571,0.117,0.451,0
Mychal Thompson,"1981",8.7,3.6,2.9,17.0,0.52,0.092,0.549,0
Rudy Tomjanovich,"1981",4.0,1.6,0.5,11.6,0.503,0.079,0.488,0
Andrew Toney,"1981",1.9,3.6,0.9,12.9,0.535,0.061,0.756,0
Terry Tyler,"1981",6.9,1.7,3.6,13.4,0.547,0.121,0.256,0
Wes Unseld,"1981",10.7,2.7,1.4,8.0,0.543,0.13,0.476,0
Kiki Vandeweghe,"1981",5.3,1.8,1.0,11.5,0.484,0.04,0.451,0
Wally Walker,"1981",3.8,1.5,0.8,8.4,0.492,0.055,0.415,0
Kermit Washington,"1981",9.4,2.0,2.3,11.4,0.596,0.153,0.549,0
Marvin Webster,"1981",5.7,0.9,1.5,5.2,0.512,0.076,0.61,0
Scott Wedman,"1981",5.3,2.8,1.8,19.0,0.503,0.077,0.488,0
Bob Wilkerson,"1981",3.5,3.4,1.6,10.0,0.507,0.068,0.549,0
Jamaal Wilkes,"1981",5.4,2.9,1.9,22.6,0.556,0.135,0.659,1
Freeman Williams,"1981",1.6,2.0,1.2,19.3,0.524,0.096,0.439,0
Ray Williams,"1981",4.1,5.5,2.8,19.7,0.519,0.127,0.61,0
Sly Williams,"1981",6.2,2.7,2.0,13.2,0.536,0.124,0.61,0
Bill Willoughby,"1981",4.1,1.2,0.9,6.3,0.554,0.062,0.488,0
Brian Winters,"1981",2.0,3.3,1.2,11.6,0.528,0.095,0.732,0
Kareem Abdul-Jabbar,"1982",8.7,3.0,3.6,23.9,0.608,0.192,0.695,1
Alvan Adams,"1982",7.4,4.5,2.4,15.1,0.529,0.144,0.561,0
Mark Aguirre,"1982",4.9,3.2,1.2,18.7,0.514,0.061,0.341,0
Tiny Archibald,"1982",1.7,8.0,0.8,12.6,0.542,0.115,0.768,0
Greg Ballard,"1982",8.0,3.2,2.0,18.8,0.519,0.154,0.524,0
Gene Banks,"1982",5.1,1.8,0.9,9.6,0.515,0.099,0.585,0
Kent Benson,"1982",8.7,2.1,2.2,12.5,0.539,0.101,0.476,0
Larry Bird,"1982",10.9,5.8,2.7,22.9,0.557,0.205,0.768,1
Rolando Blackman,"1982",3.1,1.3,0.9,13.3,0.559,0.098,0.341,0
Mike Bratz,"1982",2.0,5.4,0.9,7.7,0.495,0.081,0.585,0
Allan Bristow,"1982",4.1,5.5,0.9,7.0,0.502,0.059,0.341,0
Michael Brooks,"1982",7.6,2.9,1.9,15.6,0.539,0.079,0.207,0
Fred Brown,"1982",1.7,2.9,0.9,11.2,0.501,0.104,0.634,0
Joe Bryant,"1982",3.7,2.5,1.4,11.8,0.546,0.036,0.207,0
Quinn Buckner,"1982",3.6,4.7,2.5,12.9,0.506,0.103,0.671,0
Don Buse,"1982",2.7,5.0,2.3,9.7,0.539,0.135,0.427,0
M.L. Carr,"1982",2.7,2.3,1.6,8.1,0.495,0.103,0.768,0
Joe Barry Carroll,"1982",8.3,0.8,2.5,17.0,0.557,0.1,0.549,0
Bill Cartwright,"1982",5.8,1.2,1.6,14.4,0.616,0.116,0.402,0
Harvey Catchings,"1982",4.5,1.2,2.2,2.9,0.45,0.07,0.671,0
Tom Chambers,"1982",6.9,1.8,1.3,17.2,0.553,0.059,0.207,0
Maurice Cheeks,"1982",3.1,8.4,3.1,11.2,0.57,0.166,0.707,0
Don Collins,"1982",2.5,1.9,1.4,10.0,0.543,0.101,0.524,0
Darwin Cook,"1982",1.9,3.9,2.1,11.0,0.514,0.089,0.537,0
Michael Cooper,"1982",3.5,3.0,2.4,11.9,0.556,0.109,0.695,0
Wayne Cooper,"1982",7.2,1.5,1.9,9.0,0.461,0.076,0.341,0
Dave Corzine,"1982",7.7,1.6,1.9,10.1,0.561,0.113,0.585,0
Adrian Dantley,"1982",6.3,4.0,1.3,30.3,0.631,0.187,0.305,1
Brad Davis,"1982",2.8,6.2,1.0,12.1,0.569,0.1,0.341,0
Johnny Davis,"1982",2.2,4.2,1.1,17.0,0.526,0.091,0.427,0
